Test1,Test2,Test3,Test4,TotalSize,InitialSize,AfterNodes,AfterEdges
0.051043091,0.005991846,2.8501E-5,1.57801E-4,1423966208,968122728,926579472,926579472
0.050806089,0.006280448,2.8901E-5,1.51701E-4,1423966208,926579472,885036216,864264584
0.060259062,0.009965776,3.2801E-5,1.77701E-4,1423966208,864264584,822721296,822721296
0.061901074,0.006914453,3.21E-5,1.86502E-4,1423966208,822721296,781177832,781177832
0.063189684,0.010167678,2.96E-5,1.75701E-4,1423966208,781177832,739634280,739634280
0.059463655,0.006780552,2.47E-5,1.98201E-4,1423966208,739634280,698091000,677319368
0.059313055,0.006800352,2.65E-5,2.54202E-4,1423966208,677319368,635776032,635776032
0.059401955,0.006672151,5.47E-5,1.55102E-4,1423966208,635776032,594232672,594232672
0.059617557,0.007561258,2.42E-5,1.66701E-4,1423966208,594232672,552689424,552689424
0.061051367,0.012519595,5.7601E-5,2.00201E-4,1423966208,552689424,511146080,490374464
0.087718172,0.006939153,2.4901E-5,1.60901E-4,1423966208,490374464,448829704,448829704
0.059628057,0.006953853,2.4101E-5,1.63701E-4,1423966208,448829704,407286144,407286144
0.059712558,0.006807452,3.55E-5,1.61801E-4,1423966208,407286144,365741552,365741552
0.044911144,0.003480627,2.39E-5,1.47301E-4,1423966208,365741552,1367976104,1367976104
0.027110707,0.00382723,2.56E-5,1.61701E-4,1423966208,1367976104,1326271704,1326271704
0.027250809,0.003787729,2.81E-5,1.69602E-4,1423966208,1326271704,1284567392,1263682512
0.027651912,0.003561627,6.9601E-5,1.44601E-4,1423966208,1263682512,1221978088,1221978088
0.027341109,0.003550327,5.2101E-5,1.45901E-4,1423966208,1221978088,1180257424,1180257424
0.02744891,0.003554727,2.4801E-5,1.98501E-4,1423966208,1180257424,1138553112,1138553112
0.02735031,0.003705028,6.8101E-5,1.50701E-4,1423966208,1138553112,1096846280,1096846280
0.027317209,0.003711628,3.3501E-5,1.63001E-4,1423966208,1096846280,1034289256,1034289256
0.027191508,0.003781029,2.5601E-5,1.50001E-4,1423966208,1034289256,992584768,992584768
0.02739721,0.003632628,2.38E-5,1.43401E-4,1423966208,992584768,950880336,950880336
0.027673512,0.003640628,2.43E-5,1.52601E-4,1423966208,950880336,909176096,909176096
0.028315117,0.003568528,3.01E-5,1.47401E-4,1423966208,909176096,867470496,846618064
0.02741551,0.003576427,3.2501E-5,2.07301E-4,1423966208,846618064,804912320,804912320
0.027010507,0.003751829,7.9101E-5,1.51701E-4,1423966208,804912320,763208104,763208104
0.027149008,0.003746929,2.65E-5,1.67001E-4,1423966208,763208104,721501408,721501408
0.027403009,0.004006731,2.27E-5,1.40401E-4,1423966208,721501408,679794752,658942624
0.027279609,0.003580127,4.9301E-5,1.40701E-4,1423966208,658942624,617237016,617237016
0.040618111,0.006080246,2.2501E-5,1.47801E-4,1423966208,617237016,575532632,575532632
0.043047229,0.005356041,2.5E-5,1.53801E-4,1423966208,575532632,533828328,533828328
0.033212155,0.003615527,2.04E-5,1.44001E-4,1423966208,526958032,485253768,464401624
0.027344709,0.00397513,2.4001E-5,1.57101E-4,1423966208,464401624,422697376,422697376
0.026869906,0.003587427,2.06E-5,1.39801E-4,1423966208,422697376,380991760,380991760
0.038972199,0.003625628,2.08E-5,1.36201E-4,1423966208,380991760,2420456040,2420456040
0.02872662,0.00395863,3.0501E-5,1.46501E-4,2480930816,2420456040,2378708560,2378708560
0.027017707,0.003525627,2.03E-5,1.39701E-4,2480930816,2378708560,2336961112,2336961112
0.026918806,0.003518727,1.98E-5,1.32001E-4,2480930816,2336961112,2295213664,2295213664
0.026908307,0.003513426,2.0201E-5,1.82101E-4,2480930816,2295213664,2253467528,2253467528
0.026988906,0.00383253,2.04E-5,1.57401E-4,2480930816,2253467528,2211721392,2211721392
0.026702405,0.003624627,2.0601E-5,1.88001E-4,2480930816,2211721392,2169975208,2128229024
0.027068807,0.003495227,1.92E-5,1.33401E-4,2480930816,2128229024,2086482896,2086482896
0.026922706,0.003521526,2.02E-5,1.36701E-4,2480930816,2086482896,2044736752,2044736752
0.026830906,0.003562127,2.01E-5,1.87102E-4,2480930816,2044736752,2002990624,2002990624
0.026621404,0.003563327,2.03E-5,1.41301E-4,2480930816,2002990624,1961244440,1961244440
0.027221409,0.003848029,2.19E-5,1.44502E-4,2480930816,1961244440,1919498296,1919498296
0.026871205,0.003515727,1.9301E-5,1.54001E-4,2480930816,1919498296,1877752128,1877752128
0.027072308,0.003478626,1.99E-5,1.43001E-4,2480930816,1877752128,1836005960,1836005960
0.026791105,0.003499427,1.92E-5,1.39601E-4,2480930816,1836005960,1794259832,1794259832
0.027291409,0.003569027,2.1101E-5,2.51101E-4,2480930816,1794259832,1710767560,1710767560
0.026934207,0.003582527,2.15E-5,3.43303E-4,2480930816,1710767560,1669021432,1669021432
0.137260945,0.0130626,0.002199417,5.33004E-4,506462208,495892488,450935096,445649904
0.064585792,0.011338286,1.06101E-4,4.05303E-4,506462208,445649904,403366568,400707760
0.082588229,0.005766144,1.35901E-4,3.10502E-4,506462208,400707760,475900120,473363568
0.029253023,0.005671943,1.12301E-4,0.002985423,506462208,473363568,430213072,425140208
0.031366439,0.005602943,9.39E-5,2.11302E-4,506462208,422497680,379356840,376820424
0.035241269,0.005076438,1.06001E-4,2.40502E-4,506462208,376820424,596077448,590967736
0.027935012,0.004147332,3.78203E-4,2.40202E-4,638582784,590967736,550088064,544978080
0.027903612,0.00406223,8.7501E-5,3.91703E-4,638582784,544978080,504096352,498986648
0.048208267,0.007760459,1.25101E-4,1.99801E-4,638582784,498986648,458105600,452995720
0.06041256,0.007688958,8.2801E-5,1.85101E-4,638582784,452995720,412115000,407005264
0.08279083,0.013829506,4.37E-5,1.85901E-4,638582784,407005264,366125464,614037440
0.02757021,0.004019331,5.19E-5,1.64301E-4,638582784,614037440,572765968,567606704
0.027327807,0.00402163,3.62E-5,1.58302E-4,638582784,567606704,526331560,521172656
0.027465009,0.004034431,3.6E-5,2.02002E-4,638582784,521172656,478784968,473626080
0.02762561,0.00400373,3.4801E-5,1.59201E-4,638582784,473626080,432354408,427195496
0.028025714,0.004072531,3.8E-5,1.60301E-4,638582784,427195496,383280336,378121448
0.034048859,0.00393403,3.46E-5,1.60801E-4,638582784,378121448,854133216,854133216
0.027445309,0.00400093,3.64E-5,1.59502E-4,902823936,854133216,813014792,802735088
0.027382309,0.00399493,3.7701E-5,1.58901E-4,902823936,802735088,761618120,761618120
0.027849112,0.004071331,3.63E-5,1.52802E-4,902823936,761618120,720500584,710221384
0.027282508,0.00400303,3.78E-5,1.56202E-4,902823936,710221384,669103256,669103256
0.027304008,0.00403133,3.5401E-5,1.55001E-4,902823936,669103256,627983408,617704184
0.042813525,0.007698958,4.02E-5,1.72202E-4,902823936,617704184,576586792,576586792
0.059228451,0.007549658,3.65E-5,1.75601E-4,902823936,576586792,535467904,525188704
0.05922605,0.007572658,3.46E-5,1.74602E-4,902823936,525188704,484071720,484071720
0.059104549,0.007574857,3.93E-5,1.67302E-4,902823936,484071720,432674176,432674176
0.077173487,0.007616058,3.5801E-5,2.05701E-4,902823936,432674176,391554600,381275400
0.057453837,0.00394093,9.6001E-5,1.78702E-4,902823936,381275400,865960920,865960920
0.027320907,0.00401003,2.95E-5,1.56001E-4,902823936,865960920,824585464,814241656
0.048312868,0.026578602,8.3801E-5,2.50602E-4,902823936,814241656,772865792,772865792
0.087576567,0.010484679,3.08E-5,1.93301E-4,902823936,772865792,731487832,721144056
0.089070578,0.011985491,3.0901E-5,1.84501E-4,902823936,721144056,679767480,679767480
0.08928208,0.009673973,4.8701E-5,1.78601E-4,902823936,679767480,638390256,628046328
0.046278052,0.003685428,8.86E-5,1.65502E-4,902823936,628046328,586669848,586669848
0.029659225,0.004322233,2.9E-5,2.00802E-4,902823936,586669848,545293592,534949784
0.031710641,0.004312933,2.99E-5,1.68502E-4,902823936,534949784,493573456,493573456
0.029412723,0.004103132,4.32E-5,1.69101E-4,902823936,493573456,452181984,441838208
0.029711926,0.004304932,3.7101E-5,1.67601E-4,902823936,441838208,400461864,400461864
0.041823118,0.009652574,4.44E-5,1.77102E-4,902823936,400461864,1385972584,1385972584
0.089262979,0.009815375,2.85E-5,1.84102E-4,1423966208,1385972584,1344376488,1344376488
0.047502762,0.00390053,2.73E-5,1.66801E-4,1423966208,1344376488,1302779488,1302779488
0.027971412,0.003836829,7.34E-5,1.63002E-4,1423966208,1302779488,1261183504,1261183504
0.027690511,0.003679728,2.59E-5,1.49202E-4,1423966208,1261183504,1198774856,1198774856
0.027819411,0.003692028,2.7001E-5,1.52301E-4,1423966208,1198774856,1157179912,1157179912
0.050669685,0.008578966,2.74E-5,1.68201E-4,1423966208,1157179912,1115583656,1115583656
